"Column Name","Label"
"S0101_C06_006EA","Annotation of Percent Female!!Estimate!!AGE!!20 to 24 years"
"S0101_C01_007E","Total!!Estimate!!AGE!!25 to 29 years"
"S0101_C01_007EA","Annotation of Total!!Estimate!!AGE!!25 to 29 years"
"S0101_C01_007M","Total!!Margin of Error!!AGE!!25 to 29 years"
"S0101_C01_007MA","Annotation of Total!!Margin of Error!!AGE!!25 to 29 years"
"S0101_C02_007E","Percent!!Estimate!!AGE!!25 to 29 years"
"S0101_C02_007M","Percent!!Margin of Error!!AGE!!25 to 29 years"
"S0101_C02_007MA","Annotation of Percent!!Margin of Error!!AGE!!25 to 29 years"
"S0101_C02_007EA","Annotation of Percent!!Estimate!!AGE!!25 to 29 years"
"S0101_C03_007E","Male!!Estimate!!AGE!!25 to 29 years"
"S0101_C03_007M","Male!!Margin of Error!!AGE!!25 to 29 years"
"S0101_C03_007MA","Annotation of Male!!Margin of Error!!AGE!!25 to 29 years"
"S0101_C03_007EA","Annotation of Male!!Estimate!!AGE!!25 to 29 years"
"S0101_C04_007E","Percent Male!!Estimate!!AGE!!25 to 29 years"
"S0101_C04_007EA","Annotation of Percent Male!!Estimate!!AGE!!25 to 29 years"
"S0101_C04_007M","Percent Male!!Margin of Error!!AGE!!25 to 29 years"
"S0101_C04_007MA","Annotation of Percent Male!!Margin of Error!!AGE!!25 to 29 years"
"S0101_C05_007E","Female!!Estimate!!AGE!!25 to 29 years"
"S0101_C05_007EA","Annotation of Female!!Estimate!!AGE!!25 to 29 years"
"S0101_C05_007M","Female!!Margin of Error!!AGE!!25 to 29 years"
"S0101_C05_007MA","Annotation of Female!!Margin of Error!!AGE!!25 to 29 years"
"S0101_C06_007E","Percent Female!!Estimate!!AGE!!25 to 29 years"
"S0101_C06_007EA","Annotation of Percent Female!!Estimate!!AGE!!25 to 29 years"
"S0101_C06_007M","Percent Female!!Margin of Error!!AGE!!25 to 29 years"
"S0101_C06_007MA","Annotation of Percent Female!!Margin of Error!!AGE!!25 to 29 years"
"S0101_C01_008E","Total!!Estimate!!AGE!!30 to 34 years"
"S0101_C01_008M","Total!!Margin of Error!!AGE!!30 to 34 years"
"S0101_C01_008MA","Annotation of Total!!Margin of Error!!AGE!!30 to 34 years"
"S0101_C01_008EA","Annotation of Total!!Estimate!!AGE!!30 to 34 years"
"S0101_C02_008E","Percent!!Estimate!!AGE!!30 to 34 years"
"S0101_C02_008EA","Annotation of Percent!!Estimate!!AGE!!30 to 34 years"
"S0101_C02_008M","Percent!!Margin of Error!!AGE!!30 to 34 years"
"S0101_C02_008MA","Annotation of Percent!!Margin of Error!!AGE!!30 to 34 years"
"S0101_C03_008E","Male!!Estimate!!AGE!!30 to 34 years"
"S0101_C03_008M","Male!!Margin of Error!!AGE!!30 to 34 years"
"S0101_C03_008MA","Annotation of Male!!Margin of Error!!AGE!!30 to 34 years"
"S0101_C03_008EA","Annotation of Male!!Estimate!!AGE!!30 to 34 years"
"S0101_C04_008E","Percent Male!!Estimate!!AGE!!30 to 34 years"
"S0101_C04_008EA","Annotation of Percent Male!!Estimate!!AGE!!30 to 34 years"
"S0101_C04_008M","Percent Male!!Margin of Error!!AGE!!30 to 34 years"
"S0101_C04_008MA","Annotation of Percent Male!!Margin of Error!!AGE!!30 to 34 years"
"S0101_C05_008E","Female!!Estimate!!AGE!!30 to 34 years"
"S0101_C05_008EA","Annotation of Female!!Estimate!!AGE!!30 to 34 years"
"S0101_C05_008M","Female!!Margin of Error!!AGE!!30 to 34 years"
"S0101_C05_008MA","Annotation of Female!!Margin of Error!!AGE!!30 to 34 years"
"S0101_C06_008E","Percent Female!!Estimate!!AGE!!30 to 34 years"
"S0101_C06_008EA","Annotation of Percent Female!!Estimate!!AGE!!30 to 34 years"
"S0101_C06_008M","Percent Female!!Margin of Error!!AGE!!30 to 34 years"
"S0101_C06_008MA","Annotation of Percent Female!!Margin of Error!!AGE!!30 to 34 years"
"S0101_C01_009E","Total!!Estimate!!AGE!!35 to 39 years"
"S0101_C01_009EA","Annotation of Total!!Estimate!!AGE!!35 to 39 years"
"S0101_C01_009M","Total!!Margin of Error!!AGE!!35 to 39 years"
"S0101_C01_009MA","Annotation of Total!!Margin of Error!!AGE!!35 to 39 years"
"S0101_C02_009E","Percent!!Estimate!!AGE!!35 to 39 years"
"S0101_C02_009EA","Annotation of Percent!!Estimate!!AGE!!35 to 39 years"
"S0101_C02_009M","Percent!!Margin of Error!!AGE!!35 to 39 years"
"S0101_C02_009MA","Annotation of Percent!!Margin of Error!!AGE!!35 to 39 years"
"S0101_C03_009E","Male!!Estimate!!AGE!!35 to 39 years"
"S0101_C03_009EA","Annotation of Male!!Estimate!!AGE!!35 to 39 years"
"S0101_C03_009M","Male!!Margin of Error!!AGE!!35 to 39 years"
"S0101_C03_009MA","Annotation of Male!!Margin of Error!!AGE!!35 to 39 years"
"S0101_C04_009E","Percent Male!!Estimate!!AGE!!35 to 39 years"
"S0101_C04_009EA","Annotation of Percent Male!!Estimate!!AGE!!35 to 39 years"
"S0101_C04_009M","Percent Male!!Margin of Error!!AGE!!35 to 39 years"
"S0101_C04_009MA","Annotation of Percent Male!!Margin of Error!!AGE!!35 to 39 years"
"S0101_C05_009E","Female!!Estimate!!AGE!!35 to 39 years"
"S0101_C05_009M","Female!!Margin of Error!!AGE!!35 to 39 years"
"S0101_C05_009MA","Annotation of Female!!Margin of Error!!AGE!!35 to 39 years"
"S0101_C05_009EA","Annotation of Female!!Estimate!!AGE!!35 to 39 years"
"S0101_C06_009E","Percent Female!!Estimate!!AGE!!35 to 39 years"
"S0101_C06_009EA","Annotation of Percent Female!!Estimate!!AGE!!35 to 39 years"
"S0101_C06_009M","Percent Female!!Margin of Error!!AGE!!35 to 39 years"
"S0101_C06_009MA","Annotation of Percent Female!!Margin of Error!!AGE!!35 to 39 years"
"S0101_C01_010E","Total!!Estimate!!AGE!!40 to 44 years"
"S0101_C01_010M","Total!!Margin of Error!!AGE!!40 to 44 years"
"S0101_C01_010MA","Annotation of Total!!Margin of Error!!AGE!!40 to 44 years"
"S0101_C01_010EA","Annotation of Total!!Estimate!!AGE!!40 to 44 years"
"S0101_C02_010E","Percent!!Estimate!!AGE!!40 to 44 years"
"S0101_C02_010EA","Annotation of Percent!!Estimate!!AGE!!40 to 44 years"
"S0101_C02_010M","Percent!!Margin of Error!!AGE!!40 to 44 years"
"S0101_C02_010MA","Annotation of Percent!!Margin of Error!!AGE!!40 to 44 years"
"S0101_C03_010E","Male!!Estimate!!AGE!!40 to 44 years"
"S0101_C03_010EA","Annotation of Male!!Estimate!!AGE!!40 to 44 years"
"S0101_C03_010M","Male!!Margin of Error!!AGE!!40 to 44 years"
"S0101_C03_010MA","Annotation of Male!!Margin of Error!!AGE!!40 to 44 years"
"S0101_C04_010E","Percent Male!!Estimate!!AGE!!40 to 44 years"
"S0101_C04_010EA","Annotation of Percent Male!!Estimate!!AGE!!40 to 44 years"
"S0101_C04_010M","Percent Male!!Margin of Error!!AGE!!40 to 44 years"
"S0101_C04_010MA","Annotation of Percent Male!!Margin of Error!!AGE!!40 to 44 years"
"S0101_C05_010E","Female!!Estimate!!AGE!!40 to 44 years"
