"Column Name","Label"
"S0701PR_C01_029EA","Annotation of Estimate!!Total!!MARITAL STATUS!!Population 15 years and over!!Never married"
"S0701PR_C01_029M","Margin of Error!!Total!!MARITAL STATUS!!Population 15 years and over!!Never married"
"S0701PR_C01_029MA","Annotation of Margin of Error!!Total!!MARITAL STATUS!!Population 15 years and over!!Never married"
"S0701PR_C01_030E","Estimate!!Total!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated"
"S0701PR_C01_030M","Margin of Error!!Total!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated"
"S0701PR_C01_030MA","Annotation of Margin of Error!!Total!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated"
"S0701PR_C01_030EA","Annotation of Estimate!!Total!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated"
"S0701PR_C01_031E","Estimate!!Total!!MARITAL STATUS!!Population 15 years and over!!Divorced or separated"
"S0701PR_C01_031M","Margin of Error!!Total!!MARITAL STATUS!!Population 15 years and over!!Divorced or separated"
"S0701PR_C01_031MA","Annotation of Margin of Error!!Total!!MARITAL STATUS!!Population 15 years and over!!Divorced or separated"
"S0701PR_C01_031EA","Annotation of Estimate!!Total!!MARITAL STATUS!!Population 15 years and over!!Divorced or separated"
"S0701PR_C01_032E","Estimate!!Total!!MARITAL STATUS!!Population 15 years and over!!Widowed"
"S0701PR_C01_032M","Margin of Error!!Total!!MARITAL STATUS!!Population 15 years and over!!Widowed"
"S0701PR_C01_032MA","Annotation of Margin of Error!!Total!!MARITAL STATUS!!Population 15 years and over!!Widowed"
"S0701PR_C01_032EA","Annotation of Estimate!!Total!!MARITAL STATUS!!Population 15 years and over!!Widowed"
"S0701PR_C01_033E","Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"S0701PR_C01_033M","Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"S0701PR_C01_033MA","Annotation of Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"S0701PR_C01_033EA","Annotation of Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"S0701PR_C01_034E","Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate"
"S0701PR_C01_034M","Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate"
"S0701PR_C01_034MA","Annotation of Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate"
"S0701PR_C01_034EA","Annotation of Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate"
"S0701PR_C01_035E","Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)"
"S0701PR_C01_035M","Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)"
"S0701PR_C01_035MA","Annotation of Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)"
"S0701PR_C01_035EA","Annotation of Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)"
